"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"arik",0.441309162496924,0.422645538210503,1,1,1,1,1,1,1,0.793821025442914,1,1,1,1,0.704356284056674,1,0.422645538210503,1,0.423210069006626,0.425468837143023
"ariavg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"arising",0.916358634917906,0.50757578681947,0.916358634917906,0.916358634917906,0.916358634917906,0.916358634917906,0.916358634917906,0.548432009547172,0.916358634917906,0.916358634917906,0.916358634917906,0.916358634917906,0.916358634917906,0.916358634917906,0.916358634917906,0.916358634917906,0.916358634917906,0.606503925249446,0.508894601793144,0.916358634917906
"aricomp",0.579889532739597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.671308124353122,1,0.657915764163259,1,1
"aripam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
