"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"arik",1,1,0.911198510658475,0.542882616567673,0.423210069006626,0.719350878036958,1,0.904400072628434,1,1,0.569245460482593,1,1,1,1,1,1,1,1,0.729472128244161
"ariavg",1,1,1,1,0.686643587220312,1,1,0.737376348700839,1,1,1,1,1,1,1,1,1,0.33792539777491,1,1
"arising",0.916358634917906,0.95870251204658,0.916358634917906,0.916358634917906,0.916358634917906,0.567269897121629,0.916358634917906,0.916358634917906,0.979064477029215,0.916358634917906,0.979064477029215,0.916358634917906,0.581779478887365,1,0.916358634917906,0.916358634917906,1,0.916358634917906,0.916358634917906,0.916358634917906
"aricomp",1,1,1,1,1,1,1,1,1,0.753305229727088,1,1,1,1,1,1,1,1,1,1
"aripam",1,1,1,1,1,1,1,0.584975901610386,1,1,1,1,1,1,1,1,1,0.50134841899176,1,1
