unemployed area_buildings births deaths moves_in moves_out cars trucks motorbikes buildings_until_1900 buildings_1900-1918 buildings_1919-1948 buildings_1949-1957 buildings_1958-1962 buildings_1963-1972 buildings_1973-1982 buildings_1983-1992 buildings_1993-2001 households children male female social_insurance benefits age_under_26 age_26-35 age_36-45 age_46-55 age_56-65 age_above_65
Hostedde 105 61335 13 12 39 47 720 63 97 41 27 39 14 53 56 37 16 33 159 251 509 263 511 46 43 125 184 194 141 85
Franz-Zimmer-Siedlung 105 85469 17 30 77 32 1073 30 95 10 14 65 204 48 111 16 11 70 309 515 818 339 627 94 33 170 288 230 189 247
Kirchderne 90 48591 9 15 20 28 569 65 61 14 15 81 55 6 45 11 29 13 125 201 389 186 386 41 24 85 139 144 101 82
Kurl-Nord 39 43805 13 14 18 14 431 10 54 15 15 14 113 36 29 12 10 9 103 173 334 140 291 6 18 66 110 103 96 81
Kurl-Sud 135 106030 14 46 104 48 1234 33 111 40 20 21 15 46 88 168 86 56 330 536 852 401 863 126 52 177 280 343 225 176
Husen-Nord 35 20831 5 6 22 15 196 22 34 20 52 7 3 7 7 2 3 4 76 135 160 70 189 28 8 29 85 57 31 20
Husen-Sud 111 95330 21 31 68 63 1262 26 171 21 133 108 9 22 135 38 41 204 404 672 933 470 828 57 55 237 434 329 188 160
Lanstrop-Neu 298 117049 32 41 115 169 1154 32 100 11 7 20 1 190 90 48 6 20 453 732 936 332 993 350 53 204 325 288 194 204
Lanstrop-Alt 39 49540 7 14 39 56 624 47 77 68 28 33 10 22 42 60 10 17 137 202 440 229 410 15 32 93 171 155 118 100
MSA-Siedlung 151 114273 19 39 59 45 1334 24 155 7 6 40 862 16 52 51 20 4 278 404 1025 451 891 102 45 157 311 345 296 322
Alt-Scharnhorst 276 104057 44 37 86 73 1183 43 127 5 220 75 50 88 44 7 5 26 477 782 918 371 977 264 65 273 342 209 212 188
Westholz 73 62122 9 17 33 30 703 18 68 3 6 90 34 12 105 52 30 34 156 247 507 242 539 29 40 74 180 205 151 99
Scharnhorst-Ost 1293 397907 126 119 324 366 3708 49 135 0 0 4 7 5 499 71 17 8 1856 3216 2968 989 3734 1832 251 560 945 1034 697 470
Asselburg 142 118284 20 33 62 85 1226 21 109 36 34 36 5 84 111 66 80 38 334 494 898 436 1018 76 46 208 345 262 248 225
Asseln_Dorf 83 51487 11 9 42 61 535 60 56 37 21 36 4 20 39 20 29 17 134 216 380 192 463 43 24 90 135 134 105 84
Asseln_Hellweg 50 48273 9 9 33 64 521 102 64 53 41 19 18 18 26 37 11 15 111 179 334 198 422 27 34 87 156 86 101 68
Kolonie_Holstein 99 96789 19 12 47 60 1168 59 141 95 96 80 96 86 67 60 21 64 312 494 805 436 922 28 33 201 370 268 216 153
Kolonie_Neuasseln 40 32072 12 7 23 46 412 17 33 31 28 11 34 9 11 42 7 3 80 110 268 148 290 21 16 66 98 101 75 60
Brackeler_Feld 105 116445 22 22 43 56 1381 57 112 12 13 73 16 74 205 90 7 22 325 482 883 484 901 50 37 193 333 281 271 252
Westheck 223 184628 27 116 76 100 2080 119 169 16 51 42 158 130 301 50 41 42 414 599 1306 694 1384 151 66 264 480 394 387 409
Reichshof 212 138227 25 45 95 118 1414 87 145 56 53 57 57 71 89 55 30 20 407 668 992 494 1172 204 57 230 363 343 276 217
Brackel_Dorf 132 118543 29 43 77 61 1358 48 125 46 26 89 47 21 105 103 66 64 325 493 957 520 1043 62 49 221 359 312 320 216
Brackel_Hellweg 50 40936 8 10 18 25 436 53 40 32 50 85 7 14 13 23 15 5 95 149 280 181 319 42 15 64 118 91 107 66
Knappschaftskrankenhaus 103 81792 12 24 56 76 872 51 97 55 47 62 168 22 61 17 21 16 201 304 610 315 689 53 35 133 224 242 170 121
Hauptfriedhof 91 70647 9 23 46 31 766 56 46 3 4 36 25 168 104 32 22 16 170 263 495 267 494 116 19 83 167 160 170 163
Funkturmsiedlung 204 115501 19 29 62 58 1167 38 95 7 27 79 38 143 89 21 8 19 296 429 850 397 811 179 51 166 242 255 215 318
Wambel_Dorf 148 98556 14 17 57 74 1454 296 103 19 17 44 119 68 87 57 33 8 223 324 732 374 810 88 42 144 280 233 208 199
Breierspfad 132 127824 22 42 64 76 1242 22 129 15 23 240 68 158 100 23 6 10 266 403 813 495 912 61 45 175 295 255 246 292
Pferderennbahn 44 31368 12 4 28 12 583 20 63 0 0 16 189 42 40 2 0 39 301 526 436 214 437 17 27 130 313 105 46 29
