"","unemployed","area_buildings","births","deaths","moves_in","moves_out","cars","trucks","motorbikes","buildings_until_1900","buildings_1900.1918","buildings_1919.1948","buildings_1949.1957","buildings_1958.1962","buildings_1963.1972","buildings_1973.1982","buildings_1983.1992","buildings_1993.2001","households","children","male","female","social_insurance","benefits","age_under_26","age_26.35","age_36.45","age_46.55","age_56.65","age_above_65"
"buildings_1900.1918",0.623761769995119,0.584741804794717,0.631311736092555,0.484095152154403,0.578179542773046,0.617379097870899,0.495344637077899,0.557327765061722,0.539203437736668,0.597084675545503,1,0.507057463995977,0.4124028708258,0.304155023345485,0.0422897895572513,0.173278567520598,0.262760460636809,0.227382174962824,0.599368251071443,0.600991735105096,0.544894445070626,0.452421673164172,0.613628597036071,0.545016291873485,0.615601447644416,0.637744709662551,0.533401294142579,0.477163978014794,0.440843183367571,0.340065023437575
"buildings_1919.1948",0.418543423409518,0.55701819736894,0.451946787185354,0.439610126229901,0.389784766181251,0.41666432610004,0.521953092669842,0.462865850691607,0.573149974769098,0.224250548204831,0.507057463995977,1,0.529863075370893,0.397184571391722,0.18852040512822,0.264063181146452,0.325979737461764,0.25360747181559,0.464257165220442,0.447425267165282,0.538176339574001,0.558422311104758,0.507312326635988,0.329789423913736,0.481765506720184,0.520079077070714,0.518068964934827,0.544569072286263,0.547673010525816,0.50988506464496
"buildings_1949.1957",0.606913513362573,0.659787407312439,0.605547286493261,0.592576330749836,0.584078260556478,0.564420374213995,0.614585122624099,0.52213965477226,0.584609747390829,0.107584399067007,0.4124028708258,0.529863075370893,1,0.452183021679469,0.0737810795516174,0.130193270697953,0.287516466600448,0.169176780687423,0.579733051927836,0.566472383491985,0.60326222528683,0.564869903553088,0.643792384075695,0.519611040625453,0.59082536311051,0.653531666551915,0.590482042668518,0.573044221492284,0.528639113208176,0.50994258848973
"buildings_1958.1962",0.415534162271596,0.593515546280707,0.423370468861562,0.501319705938659,0.418446270901548,0.448764162690304,0.640355734746417,0.437166667094728,0.655319815607311,0.252418201020929,0.304155023345485,0.397184571391722,0.452183021679469,1,0.561469653303926,0.535650585907498,0.459446047951489,0.394315087822524,0.516128266678905,0.481965041046416,0.641318962372506,0.656514618326111,0.561840540764555,0.342061338103553,0.532559774607619,0.551470689728124,0.63049127774801,0.63997122634149,0.66346624507185,0.715802938648392
"buildings_1963.1972",0.215586693584766,0.447970961622162,0.290663173693997,0.373685933295845,0.161767310444154,0.217661134057951,0.544420316573878,0.136233546454815,0.571055510078771,0.217748504287207,0.0422897895572513,0.18852040512822,0.0737810795516174,0.561469653303926,1,0.679148654244148,0.569553308368689,0.585290065301478,0.427845575692125,0.404549921570254,0.57608631373671,0.628533863084228,0.399505585224934,0.167224966747513,0.379648421273682,0.379994430969996,0.555658153597536,0.613538820364989,0.682801993799419,0.734174348100085
"buildings_1973.1982",0.194055780478847,0.457781281208772,0.304939885789959,0.327621922910952,0.235723476997723,0.266981761380831,0.563735531798261,0.255774847110629,0.621817647530598,0.480190456092016,0.173278567520598,0.264063181146452,0.130193270697953,0.535650585907498,0.679148654244148,1,0.729597417484478,0.633250734437298,0.425095579838154,0.404794385576621,0.576482930367204,0.657918071478338,0.424083279341711,0.120190597088137,0.397874574768337,0.403283325867334,0.575693509255335,0.668472139622775,0.702524695414684,0.641316495186651
"buildings_1983.1992",0.294822469490609,0.508316549970045,0.37545061720694,0.366513947737708,0.31839558680542,0.345166390177178,0.60738605859693,0.366095832500281,0.648333739521915,0.451845044116357,0.262760460636809,0.325979737461764,0.287516466600448,0.459446047951489,0.569553308368689,0.729597417484478,1,0.64116125137185,0.500995431420052,0.485417153186837,0.609382375153584,0.651836327021744,0.509582915120126,0.22245022959683,0.470665010265088,0.469068783658676,0.620648128429843,0.684657234768409,0.656173771101938,0.59914224976653
"buildings_1993.2001",0.233177693576464,0.377467199740174,0.359527256498196,0.301600940594006,0.225874644517893,0.226014537130725,0.492909173488966,0.229619060622339,0.595837068085158,0.425551041085305,0.227382174962824,0.25360747181559,0.169176780687423,0.394315087822524,0.585290065301478,0.633250734437298,0.64116125137185,1,0.486331634990606,0.486981578453293,0.541204759637904,0.560006213216266,0.413001472258551,0.169398066453687,0.425499174034352,0.432156542429829,0.59419506890623,0.585454283302433,0.546904837364735,0.500252926610957
"households",0.911110012086997,0.909227695353877,0.938437638307158,0.801758785894847,0.815253441793965,0.826881398483775,0.860075831112717,0.613541052903115,0.812581297834077,0.36944505980372,0.599368251071443,0.464257165220442,0.579733051927836,0.516128266678905,0.427845575692125,0.425095579838154,0.500995431420052,0.486331634990606,1,0.995228912073005,0.918194630875243,0.789987249416187,0.940828001296048,0.849366475606047,0.949977711966927,0.926072643143062,0.899767459210437,0.860666704528926,0.780280491218127,0.707254874802524
"children",0.90971512755845,0.883028108444632,0.940511837311712,0.779062308715421,0.810041667167287,0.815903591046567,0.827949083593755,0.60532032681588,0.781266412693556,0.366346988564612,0.600991735105096,0.447425267165282,0.566472383491985,0.481965041046416,0.404549921570254,0.404794385576621,0.485417153186837,0.486981578453293,0.995228912073005,1,0.890027968115863,0.751449403689613,0.917156413749559,0.856470405049433,0.936575698438437,0.907915716326943,0.870567796005387,0.829170572344063,0.743790433816618,0.665921655356908
