"","ID","MapNumber","DistrictName","Region","PAM7","K11","M5"
"108",108,611,"Schonau","Hombruch",2,8,4
"109",109,612,"Ostenbergstrasse","Hombruch",2,8,5
"110",110,613,"Kruckenweg","Hombruch",4,7,3
"111",111,614,"Baroper Markt","Hombruch",2,8,2
"112",112,615,"Zechenplatz","Hombruch",2,8,5
"113",113,620,"Barop","Hombruch",4,7,3
"114",114,631,"Brunninghausen","Hombruch",2,8,4
"115",115,632,"Renninghausen","Hombruch",4,7,2
"116",116,641,"Eichlinghofen","Hombruch",4,1,1
"117",117,642,"Universitat","Hombruch",4,4,1
"118",118,643,"Salingen","Hombruch",2,8,5
"119",119,651,"Hombruch","Hombruch",5,5,2
"120",120,652,"Deutsch-Luxemburger-Strasse","Hombruch",4,1,1
"121",121,653,"Siedlung Rotkehlchenweg","Hombruch",2,8,4
"122",122,661,"Persebeck","Hombruch",4,7,3
"123",123,662,"Kruckel","Hombruch",2,8,4
"124",124,663,"Schnee","Hombruch",2,8,4
"125",125,671,"Grossholthausen","Hombruch",2,8,5
"126",126,672,"Kirchhorde-Nord","Hombruch",2,8,4
"127",127,673,"Kleinholthausen","Hombruch",2,8,2
"128",128,674,"Kirchhorde-Ost","Hombruch",4,7,3
"129",129,675,"Kirchhorde-West","Hombruch",4,7,3
"130",130,676,"Lottringhausen-Nord","Hombruch",2,8,4
"131",131,677,"Lottringhausen-Sud","Hombruch",2,8,4
"132",132,678,"Schanze","Hombruch",2,8,5
"133",133,681,"Rombergpark","Hombruch",2,8,2
"134",134,682,"Lucklemberg","Hombruch",7,3,1
"135",135,690,"Menglinghausen","Hombruch",1,4,3
"136",136,710,"Bovinghausen","Lutgendortmund",5,5,2
"137",137,720,"Kley","Lutgendortmund",4,7,3
"138",138,731,"Holte-Kreta","Lutgendortmund",2,8,4
"139",139,732,"Deipenbeck","Lutgendortmund",4,1,2
"140",140,733,"Lutgendortmund-Mitte","Lutgendortmund",5,5,2
"141",141,734,"Lutgendortmund-Ost","Lutgendortmund",5,5,2
"142",142,735,"Lutgendortmund-West","Lutgendortmund",2,8,4
"143",143,736,"Somborn","Lutgendortmund",2,8,5
"144",144,741,"Germania","Lutgendortmund",1,4,2
"145",145,742,"Marten","Lutgendortmund",5,5,2
"146",146,750,"Oespel","Lutgendortmund",4,1,1
"147",147,760,"Westrich","Lutgendortmund",1,7,3
"148",148,810,"Deusen","Huckarde",1,4,2
"149",149,821,"Mailoh","Huckarde",5,5,2
"150",150,822,"Erpinghofsiedlung","Huckarde",1,4,3
"151",151,823,"Wischlingen","Huckarde",2,8,4
"152",152,824,"Huckarde","Huckarde",1,4,2
"153",153,825,"Insterburgsiedlung","Huckarde",1,4,3
"154",154,831,"Jungferntal","Huckarde",1,1,2
"155",155,832,"Rahm","Huckarde",2,8,4
"156",156,841,"Kirchlinde-Alt","Huckarde",1,4,2
"157",157,842,"Siedlung Siepmannstrasse","Huckarde",1,4,3
"158",158,843,"Hangeney","Huckarde",5,5,2
"159",159,910,"Bodelschwingh","Mengede",5,5,2
"160",160,921,"Bruninghausen/Knepper","Mengede",2,8,5
"161",161,922,"Mengeder Heide","Mengede",4,7,3
"162",162,923,"Mengede-Mitte","Mengede",5,5,2
"163",163,924,"Alte Kolonie","Mengede",1,5,2
"164",164,930,"Nette","Mengede",5,5,2
"165",165,940,"Oestrich","Mengede",5,5,2
"166",166,951,"Groppenbruch","Mengede",2,8,5
"167",167,952,"Schwieringhausen","Mengede",2,8,5
"168",168,953,"Ellinghausen","Mengede",2,8,5
"169",169,954,"Niedernette","Mengede",2,8,5
"170",170,960,"Westerfilde","Mengede",5,5,2
